id,per_square_meter_price
COL_289284,47040.09837997452
COL_289305,42686.226386293936
COL_289318,39615.2133466405
COL_289354,105013.9053551928
COL_289399,51203.48699819347
COL_289428,35227.38984396527
COL_289460,57745.56833844037
COL_289493,50214.48093560125
COL_289495,51974.81351821375
COL_289749,48461.27358052515
COL_289763,197125.41326329779
COL_289778,54281.89376180994
COL_289801,39919.895999322165
COL_289971,41035.65542517339
COL_290143,51189.86301472086
COL_290169,83922.51053611496
COL_290252,31417.411121748562
COL_290336,29670.6760629792
COL_290398,39551.89465165325
COL_290403,41682.47845490324
COL_290431,35587.38136207316
COL_290466,47293.43915672619
COL_290486,52754.64899455946
COL_290497,33949.28272181072
COL_290510,52913.385816817485
COL_290559,30590.235359753868
COL_290600,87624.39584673478
COL_290602,92467.78881974405
COL_290716,46967.88644295868
COL_290717,28105.456031645786
COL_290876,47635.32884393077
COL_290966,38654.70509476459
COL_291008,30490.072557606843
COL_291021,167368.914027467
COL_291043,73764.97136120715
COL_291190,49825.32150146922
COL_291192,49811.556998786444
COL_291274,47783.20625733099
COL_291284,69374.02064016995
COL_291397,40681.23734765082
COL_291450,62214.894172589295
COL_291738,70970.59198644735
COL_291740,32685.424997096554
COL_291825,34472.422404096425
COL_291900,53473.105137886814
COL_292045,64687.306136199724
COL_292135,50371.42754491755
COL_292258,41666.857610105755
COL_292275,24906.59372957686
COL_292279,53064.553531076446
COL_292364,54774.69259539315
COL_292417,32844.44924281222
COL_292421,47774.630647563026
COL_292501,53799.640623746345
COL_292654,92647.98826802897
COL_292906,45199.39686654493
COL_292926,26283.427453347616
COL_293123,47681.89822347104
COL_293135,35580.101240784694
COL_293496,50589.25713718791
COL_293497,51418.33393747821
COL_293588,204541.2633357269
COL_293614,182557.53953252189
COL_293631,76993.65746660286
COL_293703,36300.76157390101
COL_293773,31258.91999530283
COL_293780,47024.15214079256
COL_293783,32313.04792710988
COL_293826,52294.98719632949
COL_293889,99322.3652933158
COL_293952,50092.943388964544
COL_293956,35108.94538404021
COL_294068,73062.05824657998
COL_294101,67201.87026357396
COL_294115,46042.55489627147
COL_294143,37752.54375703163
COL_294200,38800.79041095039
COL_294245,28498.275890658646
COL_294261,27943.20419548189
COL_294293,61172.159537139756
COL_294300,56731.159641982216
COL_294350,46786.14686625848
COL_294488,50286.697688855034
COL_294525,62247.04244890475
COL_294553,43068.49712040811
COL_294558,51455.89399613157
COL_294593,45840.55415022666
COL_294691,45692.53850911183
COL_294716,27687.800379524775
COL_294729,55457.725853418444
COL_294785,63533.21690723601
COL_294917,66393.75326825243
COL_294951,27292.042399950744
COL_294975,43768.438696959085
COL_295255,27248.49689789217
COL_295327,22733.631753946782
COL_295509,37470.714619183665
COL_295595,56540.411159859366
COL_296322,38299.74932314555
COL_296509,29538.723254032066
COL_296521,202083.67141368022
COL_296756,40533.68780045394
COL_296901,52776.65024605576
COL_297293,33222.24669409113
COL_297324,43025.24966352177
COL_297326,53972.291421388545
COL_297329,41737.06224764603
COL_297441,38544.06781148552
COL_297472,34371.905262496424
COL_297631,61246.11342217102
COL_297815,89073.34659947218
COL_298020,35464.45590922192
COL_298046,61669.52389376248
COL_298052,39348.83943458124
COL_298055,102197.24673481287
COL_298064,58219.129434397226
COL_298075,62556.48510476382
COL_298099,42575.245899207024
COL_298101,70423.67981317437
COL_298102,49687.557607906005
COL_298103,41072.65901962204
COL_298104,51259.72737086975
COL_298261,57069.0509115319
COL_298459,269350.73565313115
COL_298471,38281.48596120321
COL_298481,62018.2452624656
COL_298516,57508.44258691631
COL_298532,39161.92916832217
COL_298539,36670.07325496091
COL_298593,382541.27271973866
COL_298719,37128.26231686269
COL_298724,42010.73510773863
COL_298733,34971.34429953435
COL_298817,86522.999550343
COL_298837,54698.125202450006
COL_298968,200681.75387003773
COL_299209,52168.276086092665
COL_299221,199119.94010893116
COL_299361,36410.00945491114
COL_299366,57155.4822860463
COL_299450,91725.36774667524
COL_299454,46169.139577483875
COL_299455,88398.21280127131
COL_299459,81237.17900759487
COL_299464,32227.5571131535
COL_299468,59702.755251000766
COL_299486,44654.464370850765
COL_299491,101546.21948907687
COL_299497,64253.93751171988
COL_299499,48662.83891828868
COL_299501,89505.27545423034
COL_299540,41473.09357880599
COL_299615,47675.119741708004
COL_299659,219424.75849501975
COL_299678,158554.07372574916
COL_299795,35182.45150952031
COL_299818,38654.785279297896
COL_299819,85585.57072343316
COL_299820,97755.5544700796
COL_299960,51926.0134795726
COL_300095,69848.9833422795
COL_300108,192166.16033505235
COL_300125,26124.747305049335
COL_300144,346643.90208675695
COL_300225,55509.23172461761
COL_300305,219619.52718577703
COL_300423,37419.816855739744
COL_300491,33454.22886131223
COL_300562,41101.097503777135
COL_300747,33568.40360365347
COL_300816,57519.4327323338
COL_300942,38238.337840213804
COL_300959,53476.42489732491
COL_300962,35508.98468933505
COL_301220,36821.910599284034
COL_301285,59566.436551216975
COL_301290,81140.68199557287
COL_301303,76714.61571541853
COL_301367,45787.71613201318
COL_301368,48018.480763936735
COL_301378,88727.29423662972
COL_301401,48758.020052844004
COL_301444,34927.739341286404
COL_301445,46688.68154417887
COL_301574,79539.01770818752
COL_301649,28760.383536889618
COL_301669,56897.781415629805
COL_301670,46592.91400049084
COL_301679,48356.92176255885
COL_301709,29808.80354614802
COL_301757,198324.74297584468
COL_301819,33648.77541840605
COL_301820,39842.807674646945
COL_301821,33949.842324889934
COL_301822,40037.66801212528
COL_301823,39378.49950016382
COL_301843,43762.31920294626
COL_301976,65853.51463705109
COL_301986,37612.25772417665
COL_302097,46012.09648941149
COL_302111,82263.84232093733
COL_302139,44468.5596609496
COL_302293,39914.853527698404
COL_302294,44766.23059284621
COL_302428,45949.77519819669
COL_302465,34773.78595506124
COL_302497,75100.92072193291
COL_302548,32231.860638862912
COL_302597,39980.02006968767
COL_302726,51056.48774370185
COL_302745,50285.03335799977
COL_302873,40250.25880807526
COL_302926,42156.41364791766
COL_302986,49084.25101941582
COL_302987,44386.326585442446
COL_302994,63456.561414779106
COL_303002,81189.12678451971
COL_303004,41104.60331827124
COL_303007,32829.340978966575
COL_303069,55300.20547803218
COL_303147,28125.444533376856
COL_303265,44263.75698187363
COL_303285,69688.61352286708
COL_303366,37146.15593428366
COL_303405,75072.26740071391
COL_303564,44312.44777634517
COL_303569,34956.975388792096
COL_303618,100640.4941798294
COL_303623,55376.688625828
COL_303624,54863.985448939784
COL_303625,52339.024529981594
COL_303626,46459.461348703364
COL_303627,42705.031215094226
COL_303637,28907.54190106127
COL_303638,31334.50684696593
COL_304041,55849.10824240118
COL_304147,346927.55591061886
